"","Date","Open","High","Low","Close","Volume","Adjusted","AdjOpen","AdjHigh","AdjLow"
"2531",20060103000000,68.940003,69.659999,66.840003,69.620002,438100,1079.07307,1068.53344650894,1079.69300226574,1035.98456139112
"2530",20060104000000,69.790003,70.350001,69.259999,69.720002,309900,1080.623017,1081.70799533682,1090.38766703669,1073.49321471329
"2529",20060105000000,69.900001,70.050001,69.43,69.809999,197000,1082.017912,1083.41289520457,1085.73781554728,1076.12812929792
"2528",20060106000000,70.000001,70.270002,69.400001,70.109999,287100,1086.667753,1084.96284241379,1089.14771453135,1075.66316104024
"2527",20060109000000,69.850001,69.990003,69.570002,69.78,292400,1081.552947,1082.63792532965,1084.80788198895,1078.2980895084
"2526",20060110000000,68.18,70.609999,68.18,70.400001,321200,1091.162637,1056.75380019753,1094.4174945027,1056.75380019753
"2525",20060111000000,71.000001,71.090004,70.600001,70.83,334600,1097.82739,1100.46231523122,1101.85731394056,1094.2625276271
"2524",20060112000000,71.000001,71.000001,70.050001,70.259999,264400,1088.992673,1100.4623110227,1100.4623110227,1085.73781551922
"2523",20060113000000,70.000001,70.950001,69.400001,70.050001,319500,1085.737823,1084.96284954711,1099.68734515204,1075.66316811241
"2522",20060117000000,69.259999,69.390003,68.600001,69.040003,335400,1070.083396,1073.49321721317,1075.50821019939,1063.26359857898
"2521",20060118000000,69.050001,69.300001,68.409999,68.609999,349200,1063.418549,1070.23834633591,1074.11321357283,1060.31865521047
"2520",20060119000000,68.700001,68.770002,68.000001,68.100001,350600,1055.513857,1064.81353842291,1065.89851675505,1053.96391009618
"2519",20060120000000,68.08,68.08,66.700001,66.709999,513000,1033.969557,1055.20384493725,1055.20384493725,1033.81459330961
"2518",20060123000000,66.63,67.070002,66.33,66.609999,366200,1032.41961,1032.72961487809,1039.54941220671,1028.07977419877
"2517",20060124000000,66.970002,67.100001,66.440003,66.540003,311200,1031.334723,1037.99947923025,1040.01439471884,1029.78477608611
"2516",20060125000000,66.640003,66.78,65.309999,65.809999,405700,1020.020035,1032.8846562125,1035.05453536476,1012.27030053336
"2515",20060126000000,66.000001,67.209999,66.000001,66.440003,364400,1029.784776,1022.96497858052,1041.71930523807,1022.96497858052
"2514",20060127000000,66.500001,67.290003,66.159999,66.650001,283700,1033.039627,1030.71470664403,1042.95931818439,1025.44485617158
"2513",20060130000000,66.750001,66.850001,65.920002,66.070002,340500,1024.049954,1034.58957748404,1036.13952439338,1021.72503363599
"2512",20060131000000,66.070002,66.320002,65.450001,65.459999,341900,1014.595221,1024.04994354889,1027.9248107827,1014.44025730959
"2511",20060201000000,65.600001,66.43,65.470002,66.270002,369600,1027.149848,1016.76518820612,1029.62973205644,1014.75027272309
"2510",20060202000000,66.270002,66.320002,65.270002,65.470002,385400,1014.750272,1027.14984726807,1027.92482072233,1011.65037818298
"2509",20060203000000,65.400001,65.700001,64.670002,65.350001,290200,1012.890317,1013.6652904518,1018.31513116259,1002.35069355501
"2508",20060206000000,65.500001,66.420002,65.400001,66.009999,300800,1023.119929,1015.21523084131,1029.47475776238,1013.66528394766
"2507",20060207000000,66.009999,66.43,65.420002,65.800001,264200,1019.865078,1023.1199354984,1029.62972799256,1013.97529526618
"2506",20060208000000,66.150001,66.500001,65.68,66.38,247000,1028.854751,1025.2898886337,1030.71470277726,1018.00512271287
"2505",20060209000000,66.450001,68.259999,66.150001,67.120002,527600,1040.324397,1029.93973720344,1057.99374527575,1025.2898964734
"2504",20060210000000,67.359999,68.000001,67.13,67.900001,503700,1052.413964,1044.04421971402,1053.96391090501,1040.47935733197
"2503",20060213000000,67.900001,68.200001,67.200001,67.940003,288600,1053.03398,1052.41397023539,1057.06381097796,1041.56434183605
"2502",20060214000000,68.100001,68.690003,67.620002,68.390003,350000,1060.008741,1055.51386395039,1064.65858174207,1048.07413426254
"2501",20060215000000,68.200001,68.470002,67.38,68.290003,340100,1058.458794,1057.06381077855,1061.24868294555,1044.35423058511
"2500",20060216000000,68.240003,68.370002,67.470002,68.18,254400,1056.753796,1057.68381063804,1059.69872610777,1045.74920401331
"2499",20060217000000,67.859999,67.859999,66.770002,67.420002,315200,1044.974237,1051.79395690089,1051.79395690089,1034.89958209195
"2498",20060221000000,67.359999,67.400001,66.820002,67.259999,245600,1042.494265,1044.0442118934,1044.6642216497,1035.67454516746
"2497",20060222000000,67.68,68.259999,67.400001,67.909999,365800,1052.56892,1049.004057644,1057.99373412789,1044.66422184116
"2496",20060223000000,67.58,67.670002,66.540003,67.200001,314500,1041.564335,1047.4541177358,1048.84910094836,1031.33471643242
"2495",20060224000000,67.370002,67.48,66.859999,66.970002,210500,1037.999476,1044.19926363626,1045.9041742373,1036.29448790162
"2494",20060227000000,66.970002,67.38,66.620002,67.109999,261800,1040.169345,1037.99946584694,1044.35421711301,1032.57465171827
"2493",20060228000000,66.859999,67.050001,66.259999,66.359999,355100,1028.544743,1036.2944774673,1039.23940756381,1026.99479610654
"2492",20060301000000,66.290003,66.850001,65.959999,66.220002,265900,1028.700142,1029.78757837066,1038.48691399013,1024.66110371938
"2491",20060302000000,65.900001,66.13,65.520002,65.800001,328800,1022.175598,1023.72905633201,1027.30199496106,1017.82593020494
"2490",20060303000000,65.600001,65.800001,65.259999,65.48,303600,1017.204513,1019.06867852786,1022.17559518333,1013.7868891444
"2489",20060306000000,65.38,66.28,65.120002,66.009999,281500,1025.437823,1015.65105110424,1029.63217600473,1011.61209053549
