,Ticker,stillThere
0,ABI,1
1,ABK,1
2,ACAS,1
3,ACS,1
4,AGN (Old),0
5,ALTR,0
6,AMD,1
7,ANF,1
8,APOL,1
9,ASH,1
10,ATI,1
11,AW,0
12,AVP,1
13,AYE,0
14,BC,1
15,BDK,0
16,BEAM,0
17,BIG,1
18,BJS,0
19,BMC,1
20,BMS,1
21,BNI,0
22,BRL,1
23,BSC,1
24,BTU,1
25,BUD,1
26,CBE,1
27,CBH,1
28,CC,1
29,CEG,1
30,CFC,1
31,CIEN,1
32,CIT,1
33,COV,0
34,CPWR,0
35,CSC,1
36,CTX,1
37,CVG,1
38,CVH,1
39,CZR,1
40,DDR,1
41,DDS,1
42,DELL,0
43,DF,1
44,DTV,0
45,DYN,1
46,EDS,0
47,EK,0
48,EP,0
49,EQ,0
50,FDO,0
51,FHN,1
52,FII,1
53,FNM,0
54,FRE,0
55,FRX,0
56,GENZ,0
57,GHC,1
58,GNW,1
59,GR,1
60,HCBK,0
61,HNZ,0
62,HPC,1
63,HSH,0
64,HSP,0
65,IACI,0
66,IGT,1
67,IHRT,1
68,IMS,1
69,ITT,1
70,JAVA,0
71,JBL,1
72,JCP,1
73,JNS,1
74,JNY,0
75,KATE,1
76,KBH,1
77,KG,1
78,LEH,0
79,LSI,1
80,LXK,1
81,MBI,1
82,MDP,1
83,MER,1
84,MHS,0
85,MI,0
86,MIL,1
87,MOLX,0
88,MTG,1
89,MTW,1
90,MWW,1
91,NBR,1
92,NCC,1
93,NE,1
94,NOVL,0
95,NSM,1
96,NVLS,1
97,NYT,1
98,NYX,0
99,ODP,1
100,OMX,0
101,PBG,0
102,PGN,0
103,PLL,0
104,PTV,0
105,Q,1
106,QLGC,1
107,RDC,1
108,ROH,0
109,RRD,1
110,RSH,0
111,S,1
112,SAF,1
113,SGP,1
114,SHLD,1
115,SIAL,0
116,SII,1
117,SLM,1
118,SOV,1
119,SSP,1
120,STR,1
121,SUN,1
122,SUNE,1
123,SVU,1
124,SWY,0
125,TEG,0
126,TER,1
127,TEX,1
128,TIE,1
129,TLAB,0
130,TT,1
131,UIS,1
132,UST,1
133,WAMUQ,0
134,WB,1
135,WEN,1
136,WFT,1
137,VIAV,1
138,WIN,1
139,WWY,0
140,WYE,0
141,X,1
142,XTO,0
